,Date,gold
4,2014-01-01,727.65911
5,2014-01-02,743.79527
6,2014-01-03,753.41727
7,2014-01-04,753.41727
8,2014-01-05,752.16785
9,2014-01-06,754.09801
10,2014-01-07,749.82164
11,2014-01-08,745.59137
12,2014-01-09,745.66227
13,2014-01-10,757.31377
14,2014-01-11,757.31377
15,2014-01-12,757.06776
16,2014-01-13,765.33327
17,2014-01-14,756.74327
18,2014-01-15,758.47359
19,2014-01-16,759.96905
20,2014-01-17,763.53684
21,2014-01-18,763.53684
22,2014-01-19,765.21967
23,2014-01-20,764.2509
24,2014-01-21,754.64832
25,2014-01-22,746.92597
26,2014-01-23,759.2351
27,2014-01-24,770.67229
28,2014-01-25,770.67229
29,2014-01-26,773.4776
30,2014-01-27,759.07144
31,2014-01-28,756.24338
32,2014-01-29,765.05244
33,2014-01-30,754.56389
34,2014-01-31,757.02094
35,2014-02-01,757.02094
36,2014-02-02,756.71894
37,2014-02-03,772.39631
38,2014-02-04,767.50054
39,2014-02-05,771.4361
40,2014-02-06,770.05579
41,2014-02-07,772.2838
42,2014-02-08,772.2838
43,2014-02-09,772.46202
44,2014-02-10,776.56848
45,2014-02-11,782.547
46,2014-02-12,777.8527
47,2014-02-13,780.85552
48,2014-02-14,787.37348
49,2014-02-15,787.37348
50,2014-02-16,789.57557
51,2014-02-17,794.61383
52,2014-02-18,791.61172
53,2014-02-19,786.73131
54,2014-02-20,792.75575
55,2014-02-21,796.98126
56,2014-02-22,796.98126
57,2014-02-23,796.23956
58,2014-02-24,801.89668
59,2014-02-25,804.30089
60,2014-02-26,798.51443
61,2014-02-27,797.7521
62,2014-02-28,792.23878
63,2014-03-01,792.23878
64,2014-03-02,799.47833
65,2014-03-03,810.32931
66,2014-03-04,801.93038
67,2014-03-05,799.41844
68,2014-03-06,806.25786
69,2014-03-07,801.80981
70,2014-03-08,801.80981
71,2014-03-09,799.9725
72,2014-03-10,805.6973
73,2014-03-11,810.92603
74,2014-03-12,822.16572
75,2014-03-13,826.30433
76,2014-03-14,830.57821
77,2014-03-15,830.57821
78,2014-03-16,833.33383
79,2014-03-17,821.29183
80,2014-03-18,817.21881
81,2014-03-19,803.41622
82,2014-03-20,806.30437
83,2014-03-21,809.64643
84,2014-03-22,809.64643
85,2014-03-23,807.54003
86,2014-03-24,794.82882
87,2014-03-25,792.20701
88,2014-03-26,788.0104
89,2014-03-27,778.58564
90,2014-03-28,778.37536
91,2014-03-29,778.37536
92,2014-03-30,778.81851
93,2014-03-31,770.85971
94,2014-04-01,770.29318
95,2014-04-02,776.25524
96,2014-04-03,775.7176
97,2014-04-04,786.32958
98,2014-04-05,786.32958
99,2014-04-06,784.83875
100,2014-04-07,781.50276
101,2014-04-08,782.1144
102,2014-04-09,781.16282
103,2014-04-10,785.44888
104,2014-04-11,787.99823
105,2014-04-12,787.99823
106,2014-04-13,793.65127
107,2014-04-14,793.28218
108,2014-04-15,778.86484
109,2014-04-16,775.4426
110,2014-04-17,771.19383
111,2014-04-18,771.06755
112,2014-04-19,771.06755
113,2014-04-20,770.57906
114,2014-04-21,767.99636
115,2014-04-22,762.98898
116,2014-04-23,765.30451
117,2014-04-24,769.4564
118,2014-04-25,775.71501
119,2014-04-26,775.71501
120,2014-04-27,775.81142
121,2014-04-28,771.27008
122,2014-04-29,770.10155
123,2014-04-30,766.0633
124,2014-05-01,760.58031
125,2014-05-02,770.17597
126,2014-05-03,770.17597
127,2014-05-04,770.81414
128,2014-05-05,776.71987
129,2014-05-06,770.61069
130,2014-05-07,760.62315
131,2014-05-08,762.1812
132,2014-05-09,764.8993
133,2014-05-10,764.8993
134,2014-05-11,760.10807
135,2014-05-12,768.1342
136,2014-05-13,769.16678
137,2014-05-14,778.60642
138,2014-05-15,772.12623
139,2014-05-16,769.30466
140,2014-05-17,769.30466
141,2014-05-18,767.55783
142,2014-05-19,769.10725
143,2014-05-20,769.02997
144,2014-05-21,765.04441
145,2014-05-22,766.88326
146,2014-05-23,768.07301
147,2014-05-24,768.07301
148,2014-05-25,767.16849
149,2014-05-26,767.04134
150,2014-05-27,751.9488
151,2014-05-28,753.36753
152,2014-05-29,751.16312
153,2014-05-30,745.79847
154,2014-05-31,745.79847
155,2014-06-01,744.83228
156,2014-06-02,743.04975
157,2014-06-03,743.55498
158,2014-06-04,743.32249
159,2014-06-05,745.75243
160,2014-06-06,745.80981
161,2014-06-07,745.80981
162,2014-06-08,745.7616
163,2014-06-09,744.65648
164,2014-06-10,751.83395
165,2014-06-11,750.96933
166,2014-06-12,751.82197
167,2014-06-13,752.53905
168,2014-06-14,752.53905
169,2014-06-15,752.56116
170,2014-06-16,749.24019
171,2014-06-17,749.047
172,2014-06-18,752.23893
173,2014-06-19,774.18332
174,2014-06-20,772.67478
