,Date,oil
0,2014-01-01,59.534
1,2014-01-02,58.0128
2,2014-01-03,57.3962
3,2014-01-04,57.3962
4,2014-01-05,57.3911
5,2014-01-06,57.0729
6,2014-01-07,57.2935
7,2014-01-08,56.2721
8,2014-01-09,56.0242
9,2014-01-10,56.317
10,2014-01-11,56.317
11,2014-01-12,56.271
12,2014-01-13,55.9237
13,2014-01-14,56.3223
14,2014-01-15,57.7521
15,2014-01-16,57.6191
16,2014-01-17,57.4262
17,2014-01-18,57.4262
18,2014-01-19,57.4397
19,2014-01-20,57.191
20,2014-01-21,57.7765
21,2014-01-22,58.3453
22,2014-01-23,58.4534
23,2014-01-24,58.7828
24,2014-01-25,58.7828
25,2014-01-26,58.879
26,2014-01-27,57.7441
27,2014-01-28,58.6146
28,2014-01-29,58.9591
29,2014-01-30,59.429
30,2014-01-31,59.291
31,2014-02-01,59.291
32,2014-02-02,59.1442
33,2014-02-03,59.2464
34,2014-02-04,59.8702
35,2014-02-05,59.7154
36,2014-02-06,59.9929
37,2014-02-07,60.9906
38,2014-02-08,60.9906
39,2014-02-09,61.1151
40,2014-02-10,60.9465
41,2014-02-11,61.0708
42,2014-02-12,60.3815
43,2014-02-13,60.173
44,2014-02-14,59.9289
45,2014-02-15,59.9289
46,2014-02-16,60.1194
47,2014-02-17,60.1696
48,2014-02-18,61.4102
49,2014-02-19,61.6829
50,2014-02-20,61.6845
51,2014-02-21,61.6146
52,2014-02-22,61.6146
53,2014-02-23,61.6387
54,2014-02-24,61.6163
55,2014-02-25,61.1626
56,2014-02-26,61.4058
57,2014-02-27,61.0891
58,2014-02-28,61.3044
59,2014-03-01,61.3044
60,2014-03-02,62.4537
61,2014-03-03,62.7985
62,2014-03-04,62.0004
63,2014-03-05,60.4235
64,2014-03-06,60.815
65,2014-03-07,61.4078
66,2014-03-08,61.4078
67,2014-03-09,61.2119
68,2014-03-10,60.6576
69,2014-03-11,59.845
70,2014-03-12,59.029
71,2014-03-13,59.0488
72,2014-03-14,59.4733
73,2014-03-15,59.4733
74,2014-03-16,59.5641
