,Date,gold
4,2014-01-01,1206.135
5,2014-01-02,1223.48
6,2014-01-03,1236.855
7,2014-01-04,1236.855
8,2014-01-05,1234.33
9,2014-01-06,1237.735
10,2014-01-07,1229.67
11,2014-01-08,1226.125
12,2014-01-09,1228.665
13,2014-01-10,1248.25
14,2014-01-11,1248.25
15,2014-01-12,1248.7
16,2014-01-13,1254.32
17,2014-01-14,1243.56
18,2014-01-15,1241.06
19,2014-01-16,1242.31
20,2014-01-17,1254.01
21,2014-01-18,1254.01
22,2014-01-19,1256.33
23,2014-01-20,1255.37
24,2014-01-21,1243.185
25,2014-01-22,1237.07
26,2014-01-23,1262.775
27,2014-01-24,1270.145
28,2014-01-25,1270.145
29,2014-01-26,1275.685
30,2014-01-27,1258.085
31,2014-01-28,1252.91
32,2014-01-29,1266.77
33,2014-01-30,1244.755
34,2014-01-31,1244.55
35,2014-02-01,1244.55
36,2014-02-02,1243.8
37,2014-02-03,1259.705
38,2014-02-04,1253.29
39,2014-02-05,1259.3
40,2014-02-06,1256.758
41,2014-02-07,1267.31
42,2014-02-08,1267.31
43,2014-02-09,1267.475
44,2014-02-10,1273.98
45,2014-02-11,1287.102
46,2014-02-12,1291.92
47,2014-02-13,1300.55
48,2014-02-14,1318.575
49,2014-02-15,1318.575
50,2014-02-16,1323.605
51,2014-02-17,1328.495
52,2014-02-18,1320.63
53,2014-02-19,1312.02
54,2014-02-20,1320.85
55,2014-02-21,1324.28
56,2014-02-22,1324.28
57,2014-02-23,1324.23
58,2014-02-24,1335.595
59,2014-02-25,1341.22
60,2014-02-26,1330.88
61,2014-02-27,1331.54
62,2014-02-28,1326.485
63,2014-03-01,1326.485
64,2014-03-02,1337.895
65,2014-03-03,1350.43
66,2014-03-04,1336.425
67,2014-03-05,1336.12
68,2014-03-06,1349.72
69,2014-03-07,1340.185
70,2014-03-08,1340.185
71,2014-03-09,1338.31
72,2014-03-10,1340.495
73,2014-03-11,1347.755
74,2014-03-12,1366.275
75,2014-03-13,1373.45
76,2014-03-14,1382.73
77,2014-03-15,1382.73
78,2014-03-16,1386.755
79,2014-03-17,1366.375
80,2014-03-18,1356.24
81,2014-03-19,1328.28
82,2014-03-20,1331.015
83,2014-03-21,1334.775
84,2014-03-22,1334.775
85,2014-03-23,1331.9
86,2014-03-24,1311.245
87,2014-03-25,1309.74
88,2014-03-26,1306.34
89,2014-03-27,1293.04
90,2014-03-28,1295.31
91,2014-03-29,1295.31
92,2014-03-30,1296.285
93,2014-03-31,1284.63
94,2014-04-01,1281.09
95,2014-04-02,1290.47
96,2014-04-03,1287.315
97,2014-04-04,1303.53
98,2014-04-05,1303.53
99,2014-04-06,1301.4
100,2014-04-07,1298.08
101,2014-04-08,1309.85
102,2014-04-09,1311.795
103,2014-04-10,1317.995
104,2014-04-11,1318.455
105,2014-04-12,1318.455
106,2014-04-13,1328.1
107,2014-04-14,1326.935
108,2014-04-15,1302.815
109,2014-04-16,1302.635
110,2014-04-17,1294.9
111,2014-04-18,1294.9
112,2014-04-19,1294.9
113,2014-04-20,1294.28
114,2014-04-21,1289.535
115,2014-04-22,1283.687
116,2014-04-23,1284.07
117,2014-04-24,1293.26
118,2014-04-25,1303.24
119,2014-04-26,1303.24
120,2014-04-27,1303.305
121,2014-04-28,1296.505
122,2014-04-29,1295.615
123,2014-04-30,1292.705
124,2014-05-01,1284.7
125,2014-05-02,1299.645
126,2014-05-03,1299.645
127,2014-05-04,1300.93
128,2014-05-05,1310.14
129,2014-05-06,1308.05
130,2014-05-07,1289.705
131,2014-05-08,1290.59
132,2014-05-09,1288.775
133,2014-05-10,1288.775
134,2014-05-11,1281.47
135,2014-05-12,1295.9
136,2014-05-13,1294.45
137,2014-05-14,1305.54
138,2014-05-15,1296.62
139,2014-05-16,1293.455
140,2014-05-17,1293.455
141,2014-05-18,1291.37
142,2014-05-19,1293.2
143,2014-05-20,1294.785
144,2014-05-21,1292.795
145,2014-05-22,1293.525
146,2014-05-23,1292.64
147,2014-05-24,1292.64
148,2014-05-25,1291.555
149,2014-05-26,1291.805
150,2014-05-27,1264.15
151,2014-05-28,1259.235
152,2014-05-29,1256.11
153,2014-05-30,1249.645
154,2014-05-31,1249.645
155,2014-06-01,1248.0
156,2014-06-02,1244.43
157,2014-06-03,1245.12
158,2014-06-04,1244.11
159,2014-06-05,1253.58
160,2014-06-06,1253.27
161,2014-06-07,1253.27
162,2014-06-08,1253.23
163,2014-06-09,1251.25
164,2014-06-10,1259.585
165,2014-06-11,1260.87
166,2014-06-12,1273.0
167,2014-06-13,1277.055
168,2014-06-14,1277.055
169,2014-06-15,1277.45
170,2014-06-16,1272.06
171,2014-06-17,1270.35
172,2014-06-18,1277.99
173,2014-06-19,1319.1
174,2014-06-20,1314.71
175,2014-06-21,1314.71
176,2014-06-22,1313.81
177,2014-06-23,1314.82
178,2014-06-24,1317.75
179,2014-06-25,1318.18
180,2014-06-26,1316.07
181,2014-06-27,1316.2
182,2014-06-28,1316.2
183,2014-06-29,1315.645
184,2014-06-30,1326.34
185,2014-07-01,1326.75
186,2014-07-02,1327.51
187,2014-07-03,1320.105
188,2014-07-04,1320.83
189,2014-07-05,1320.83
190,2014-07-06,1318.215
191,2014-07-07,1318.435
192,2014-07-08,1318.47
193,2014-07-09,1327.54
194,2014-07-10,1336.58
195,2014-07-11,1338.65
196,2014-07-12,1338.65
197,2014-07-13,1339.0
198,2014-07-14,1307.745
199,2014-07-15,1294.405
200,2014-07-16,1297.9
201,2014-07-17,1321.97
202,2014-07-18,1310.8
203,2014-07-19,1310.8
204,2014-07-20,1310.42
205,2014-07-21,1311.43
206,2014-07-22,1307.48
207,2014-07-23,1304.54
208,2014-07-24,1293.495
209,2014-07-25,1307.075
210,2014-07-26,1307.075
211,2014-07-27,1307.285
212,2014-07-28,1304.11
213,2014-07-29,1299.165
214,2014-07-30,1296.705
215,2014-07-31,1283.04
216,2014-08-01,1293.835
217,2014-08-02,1293.835
218,2014-08-03,1293.2445
219,2014-08-04,1288.205
220,2014-08-05,1288.31
221,2014-08-06,1306.505
222,2014-08-07,1311.605
223,2014-08-08,1309.55
224,2014-08-09,1309.55
225,2014-08-10,1311.195
226,2014-08-11,1307.765
227,2014-08-12,1308.865
228,2014-08-13,1312.915
229,2014-08-14,1312.63
230,2014-08-15,1304.745
231,2014-08-16,1304.745
232,2014-08-17,1302.585
233,2014-08-18,1298.303
234,2014-08-19,1295.68
235,2014-08-20,1290.564
236,2014-08-21,1277.062
237,2014-08-22,1281.104
238,2014-08-23,1281.104
239,2014-08-24,1277.265
240,2014-08-25,1276.044
241,2014-08-26,1280.465
242,2014-08-27,1282.954
243,2014-08-28,1289.895
244,2014-08-29,1287.293
245,2014-08-30,1287.293
246,2014-08-31,1286.06
247,2014-09-01,1286.703
248,2014-09-02,1266.802
249,2014-09-03,1269.394
250,2014-09-04,1258.4685
251,2014-09-05,1268.835
252,2014-09-06,1268.835
253,2014-09-07,1268.5285
254,2014-09-08,1256.67
255,2014-09-09,1255.305
256,2014-09-10,1249.948
257,2014-09-11,1240.934
258,2014-09-12,1229.4
259,2014-09-13,1229.4
260,2014-09-14,1226.92
261,2014-09-15,1233.007
262,2014-09-16,1234.929
263,2014-09-17,1217.625
264,2014-09-18,1225.981
265,2014-09-19,1215.726
266,2014-09-20,1215.726
267,2014-09-21,1215.004
268,2014-09-22,1214.771
269,2014-09-23,1221.947
270,2014-09-24,1216.693
271,2014-09-25,1222.29
272,2014-09-26,1218.356
273,2014-09-27,1218.356
274,2014-09-28,1217.056
275,2014-09-29,1215.455
276,2014-09-30,1208.79
277,2014-10-01,1213.16
278,2014-10-02,1214.795
279,2014-10-03,1191.555
280,2014-10-04,1191.555
281,2014-10-05,1185.95
282,2014-10-06,1206.215
283,2014-10-07,1210.325
284,2014-10-08,1220.71
285,2014-10-09,1224.59
286,2014-10-10,1223.295
287,2014-10-11,1223.295
288,2014-10-12,1230.175
289,2014-10-13,1235.825
290,2014-10-14,1230.09
291,2014-10-15,1240.805
292,2014-10-16,1238.315
293,2014-10-17,1238.335
294,2014-10-18,1238.335
295,2014-10-19,1236.405
296,2014-10-20,1246.93
297,2014-10-21,1248.67
298,2014-10-22,1242.04
299,2014-10-23,1232.395
300,2014-10-24,1231.001
301,2014-10-25,1231.001
302,2014-10-26,1228.3
303,2014-10-27,1226.35
304,2014-10-28,1229.355
305,2014-10-29,1212.665
306,2014-10-30,1200.275
307,2014-10-31,1172.905
308,2014-11-01,1172.905
309,2014-11-02,1166.51
310,2014-11-03,1165.085
311,2014-11-04,1169.18
312,2014-11-05,1143.555
313,2014-11-06,1140.625
314,2014-11-07,1178.015
315,2014-11-08,1178.015
316,2014-11-09,1170.655
317,2014-11-10,1155.49
318,2014-11-11,1162.015
319,2014-11-12,1159.145
320,2014-11-13,1160.855
321,2014-11-14,1188.81
322,2014-11-15,1188.81
323,2014-11-16,1182.345
324,2014-11-17,1186.415
325,2014-11-18,1195.01
326,2014-11-19,1182.185
327,2014-11-20,1193.09
328,2014-11-21,1201.465
329,2014-11-22,1201.465
330,2014-11-23,1201.885
331,2014-11-24,1197.535
332,2014-11-25,1201.575
333,2014-11-26,1197.73
334,2014-11-27,1189.545
335,2014-11-28,1167.5595
336,2014-11-29,1167.5595
337,2014-11-30,1151.25
338,2014-12-01,1205.645
339,2014-12-02,1197.855
340,2014-12-03,1208.315
341,2014-12-04,1204.44
342,2014-12-05,1192.39
343,2014-12-06,1192.39
344,2014-12-07,1189.14
345,2014-12-08,1203.14
346,2014-12-09,1229.35
347,2014-12-10,1229.7
348,2014-12-11,1226.755
349,2014-12-12,1222.7
350,2014-12-13,1222.7
351,2014-12-14,1222.475
352,2014-12-15,1198.95
353,2014-12-16,1197.7
354,2014-12-17,1189.99
355,2014-12-18,1196.575
356,2014-12-19,1195.755
357,2014-12-20,1195.755
358,2014-12-21,1195.715
359,2014-12-22,1174.02
360,2014-12-23,1178.325
361,2014-12-24,1175.085
362,2014-12-25,1177.025
363,2014-12-26,1196.11
364,2014-12-27,1196.11
365,2014-12-28,1193.805
366,2014-12-29,1182.0
367,2014-12-30,1199.62
368,2014-12-31,1187.11
369,2015-01-01,1186.965
370,2015-01-02,1188.775
371,2015-01-03,1188.775
372,2015-01-04,1184.355
373,2015-01-05,1203.435
374,2015-01-06,1216.71
375,2015-01-07,1212.515
376,2015-01-08,1208.075
377,2015-01-09,1223.505
378,2015-01-10,1223.505
379,2015-01-11,1225.815
380,2015-01-12,1231.025
381,2015-01-13,1233.24
382,2015-01-14,1231.11
383,2015-01-15,1261.875
384,2015-01-16,1280.65
385,2015-01-17,1280.65
386,2015-01-18,1278.935
387,2015-01-19,1275.73
388,2015-01-20,1292.275
389,2015-01-21,1291.725
390,2015-01-22,1301.175
391,2015-01-23,1294.41
392,2015-01-24,1294.41
393,2015-01-25,1297.515
394,2015-01-26,1280.155
395,2015-01-27,1293.58
