,Date,oil
0,2014-01-01,98.68
1,2014-01-02,95.42
2,2014-01-03,94.225
3,2014-01-04,94.225
4,2014-01-05,94.18
5,2014-01-06,93.68
6,2014-01-07,93.955
7,2014-01-08,92.54
8,2014-01-09,92.31
9,2014-01-10,92.825
10,2014-01-11,92.825
11,2014-01-12,92.815
12,2014-01-13,91.655
13,2014-01-14,92.555
14,2014-01-15,94.49
15,2014-01-16,94.19
16,2014-01-17,94.315
17,2014-01-18,94.315
18,2014-01-19,94.305
19,2014-01-20,93.935
20,2014-01-21,95.185
21,2014-01-22,96.625
22,2014-01-23,97.225
23,2014-01-24,96.88
24,2014-01-25,96.88
25,2014-01-26,97.095
26,2014-01-27,95.705
27,2014-01-28,97.115
28,2014-01-29,97.625
29,2014-01-30,98.04
30,2014-01-31,97.475
31,2014-02-01,97.475
32,2014-02-02,97.21
33,2014-02-03,96.625
34,2014-02-04,97.765
35,2014-02-05,97.48
36,2014-02-06,97.915
37,2014-02-07,100.085
38,2014-02-08,100.085
39,2014-02-09,100.285
40,2014-02-10,99.99
41,2014-02-11,100.445
42,2014-02-12,100.29
43,2014-02-13,100.22
44,2014-02-14,100.36
45,2014-02-15,100.36
46,2014-02-16,100.765
47,2014-02-17,100.6
48,2014-02-18,102.455
49,2014-02-19,102.86
50,2014-02-20,102.775
51,2014-02-21,102.38
52,2014-02-22,102.38
53,2014-02-23,102.515
54,2014-02-24,102.625
55,2014-02-25,101.985
56,2014-02-26,102.345
57,2014-02-27,101.965
58,2014-02-28,102.645
59,2014-03-01,102.645
60,2014-03-02,104.49
61,2014-03-03,104.655
62,2014-03-04,103.32
63,2014-03-05,100.99
64,2014-03-06,101.805
65,2014-03-07,102.64
66,2014-03-08,102.64
67,2014-03-09,102.405
68,2014-03-10,100.93
69,2014-03-11,99.46
70,2014-03-12,98.105
71,2014-03-13,98.155
72,2014-03-14,99.01
73,2014-03-15,99.01
74,2014-03-16,99.12
75,2014-03-17,97.525
76,2014-03-18,98.485
77,2014-03-19,99.155
78,2014-03-20,98.685
79,2014-03-21,99.62
80,2014-03-22,99.62
81,2014-03-23,99.21
82,2014-03-24,99.365
83,2014-03-25,99.275
84,2014-03-26,100.17
85,2014-03-27,101.365
86,2014-03-28,101.585
87,2014-03-29,101.585
88,2014-03-30,101.47
89,2014-03-31,101.405
90,2014-04-01,99.625
91,2014-04-02,99.285
92,2014-04-03,100.39
93,2014-04-04,101.1
94,2014-04-05,101.1
95,2014-04-06,100.96
96,2014-04-07,100.77
97,2014-04-08,102.315
98,2014-04-09,103.375
99,2014-04-10,103.335
100,2014-04-11,103.375
101,2014-04-12,103.375
102,2014-04-13,104.03
103,2014-04-14,103.535
104,2014-04-15,103.85
105,2014-04-16,103.86
106,2014-04-17,103.68
107,2014-04-18,103.68
108,2014-04-19,103.68
109,2014-04-20,103.495
110,2014-04-21,103.53
111,2014-04-22,101.98
112,2014-04-23,101.54
113,2014-04-24,101.855
114,2014-04-25,100.675
115,2014-04-26,100.675
116,2014-04-27,100.825
117,2014-04-28,100.85
118,2014-04-29,100.695
119,2014-04-30,99.765
120,2014-05-01,99.315
121,2014-05-02,99.93
122,2014-05-03,99.93
123,2014-05-04,99.755
124,2014-05-05,99.395
125,2014-05-06,99.845
126,2014-05-07,100.855
127,2014-05-08,100.265
128,2014-05-09,100.055
129,2014-05-10,100.055
130,2014-05-11,100.015
131,2014-05-12,100.55
132,2014-05-13,101.865
133,2014-05-14,101.965
134,2014-05-15,101.595
135,2014-05-16,101.68
136,2014-05-17,101.68
137,2014-05-18,101.565
138,2014-05-19,102.015
139,2014-05-20,102.895
140,2014-05-21,103.795
141,2014-05-22,103.685
142,2014-05-23,104.365
143,2014-05-24,104.365
144,2014-05-25,104.245
145,2014-05-26,104.24
146,2014-05-27,104.075
147,2014-05-28,103.005
148,2014-05-29,103.495
149,2014-05-30,102.895
150,2014-05-31,102.895
151,2014-06-01,102.925
152,2014-06-02,102.615
153,2014-06-03,102.895
154,2014-06-04,102.225
155,2014-06-05,102.445
156,2014-06-06,102.785
157,2014-06-07,102.785
158,2014-06-08,102.645
159,2014-06-09,104.535
160,2014-06-10,104.325
161,2014-06-11,104.49
162,2014-06-12,106.94
163,2014-06-13,106.785
164,2014-06-14,106.785
165,2014-06-15,107.325
166,2014-06-16,106.685
167,2014-06-17,106.015
168,2014-06-18,105.915
169,2014-06-19,106.105
170,2014-06-20,106.65
171,2014-06-21,106.65
172,2014-06-22,107.185
173,2014-06-23,106.03
174,2014-06-24,106.965
175,2014-06-25,106.765
176,2014-06-26,105.63
177,2014-06-27,105.745
178,2014-06-28,105.745
179,2014-06-29,105.485
180,2014-06-30,105.535
181,2014-07-01,105.275
182,2014-07-02,104.185
183,2014-07-03,104.105
184,2014-07-04,103.795
185,2014-07-05,103.795
186,2014-07-06,103.785
187,2014-07-07,103.405
188,2014-07-08,103.465
189,2014-07-09,101.845
190,2014-07-10,102.805
191,2014-07-11,100.53
192,2014-07-12,100.53
193,2014-07-13,100.865
194,2014-07-14,100.925
195,2014-07-15,100.185
196,2014-07-16,101.415
197,2014-07-17,103.885
198,2014-07-18,101.76
199,2014-07-19,101.76
200,2014-07-20,101.76
201,2014-07-21,102.745
202,2014-07-22,101.945
203,2014-07-23,103.205
204,2014-07-24,101.995
205,2014-07-25,101.955
206,2014-07-26,101.955
207,2014-07-27,101.775
208,2014-07-28,101.505
209,2014-07-29,100.95
210,2014-07-30,99.395
211,2014-07-31,97.735
212,2014-08-01,97.625
213,2014-08-02,97.625
214,2014-08-03,97.715
215,2014-08-04,98.435
216,2014-08-05,97.675
217,2014-08-06,96.885
218,2014-08-07,97.435
219,2014-08-08,97.505
220,2014-08-09,97.505
221,2014-08-10,97.71
222,2014-08-11,97.845
223,2014-08-12,97.245
224,2014-08-13,97.335
225,2014-08-14,95.565
226,2014-08-15,97.195
227,2014-08-16,97.195
228,2014-08-17,96.885
229,2014-08-18,93.935
230,2014-08-19,92.865
231,2014-08-20,93.615
232,2014-08-21,93.87
233,2014-08-22,93.365
234,2014-08-23,93.365
235,2014-08-24,93.415
236,2014-08-25,93.41
237,2014-08-26,93.855
238,2014-08-27,93.755
239,2014-08-28,94.555
240,2014-08-29,95.86
241,2014-08-30,95.86
242,2014-08-31,95.765
243,2014-09-01,95.835
244,2014-09-02,93.125
245,2014-09-03,95.155
246,2014-09-04,94.545
247,2014-09-05,93.425
248,2014-09-06,93.425
249,2014-09-07,93.48
250,2014-09-08,93.145
251,2014-09-09,93.0
252,2014-09-10,91.895
253,2014-09-11,93.035
254,2014-09-12,92.26
255,2014-09-13,92.26
256,2014-09-14,91.895
257,2014-09-15,92.785
258,2014-09-16,94.685
259,2014-09-17,92.735
260,2014-09-18,91.955
261,2014-09-19,91.81
262,2014-09-20,91.81
263,2014-09-21,91.625
264,2014-09-22,90.905
265,2014-09-23,91.645
266,2014-09-24,92.905
267,2014-09-25,92.475
268,2014-09-26,93.405
269,2014-09-27,93.405
270,2014-09-28,93.065
271,2014-09-29,94.275
272,2014-09-30,91.485
273,2014-10-01,90.87
274,2014-10-02,91.085
275,2014-10-03,89.705
276,2014-10-04,89.705
277,2014-10-05,89.465
278,2014-10-06,90.405
279,2014-10-07,88.545
280,2014-10-08,87.82
281,2014-10-09,84.68
282,2014-10-10,85.515
283,2014-10-11,85.515
284,2014-10-12,84.47
285,2014-10-13,84.935
286,2014-10-14,82.365
287,2014-10-15,80.94
288,2014-10-16,83.01
289,2014-10-17,82.275
290,2014-10-18,82.275
291,2014-10-19,82.69
292,2014-10-20,81.9
293,2014-10-21,82.76
294,2014-10-22,80.4
